judge,avg_d2v_vec1,avg_d2v_vec2,avg_d2v_vec3,avg_d2v_vec4,avg_d2v_vec5,avg_d2v_vec6,avg_d2v_vec7,avg_d2v_vec8,avg_d2v_vec9,avg_d2v_vec10,avg_d2v_vec11,avg_d2v_vec12,avg_d2v_vec13,avg_d2v_vec14,avg_d2v_vec15,avg_d2v_vec16,avg_d2v_vec17,avg_d2v_vec18,avg_d2v_vec19,avg_d2v_vec20,avg_d2v_vec21,avg_d2v_vec22,avg_d2v_vec23,avg_d2v_vec24,avg_d2v_vec25,non_air_pollution_single_judge_cases
Dig Vinay Singh,-1.9491105755555556,-0.10772143333333334,-2.9558932666666666,-2.274741827777778,-1.3416899122222223,-2.7465065444444443,2.4904413555555553,1.2823712044444444,-2.410688211111111,2.7412694933333333,3.3069211222222226,1.1166950666666668,0.035809337777777776,-0.8655920266666666,-2.663366511111111,-0.32057226222222224,-2.561642898888889,3.3536139555555557,-4.549111,-0.8856736203,-1.7913907222222223,2.2862510466666666,1.099554251111111,-5.147245111111111,-1.065062711111111,9
Ranjan Gogoi,-1.0570957877777778,-0.9752408388888889,-0.5479873711111112,0.3964838663333333,0.5677334825,-0.2713039066666667,0.927440801111111,-2.561780463888889,0.12988907133333333,1.9120322944444448,-2.524776222222222,-0.7948381777777778,-2.257980248888889,-1.1015291944444445,-0.8308126647777778,0.41041453222222224,-2.3836081777777776,1.0065183514444445,0.9056955077777779,-0.2796757022222222,-0.059750286111111106,-1.562888908,-1.74247587,0.8680065611111112,-1.1414359182222222,9
Smita Garg,0.16344886933333333,0.6055628433333333,-0.24800319000000004,0.05587766555555556,-0.14694933555555556,-1.3327392977777777,1.6633023111111112,1.2188139366666666,-1.6381001588888888,1.4816438111111112,-0.12332142533333333,0.48424293777777777,-1.712816191111111,-1.3425008455555556,-1.1092881088888888,-0.24200512388888887,-1.346070687777778,0.6434620922222222,-1.1527830545555555,2.0551357633333334,0.8402623129555555,-0.7280556822222223,-0.9436055822222222,-0.23513744555555555,-1.26286751,9
Shunali Gupta,-0.20446448877777776,0.89339669,-0.3447850244444444,-1.8367991888888886,-1.978147058888889,-1.05001684,0.6792425166666667,1.167538007777778,-1.9640686,2.821006861111111,0.6833187277777778,-0.6176616595555555,-0.26186148066666665,-1.1856958055555555,-1.8585297222222223,-0.5733778611111111,-1.5608110655555556,1.6096558466666666,-2.373793788888889,1.3860923544444443,-0.15135877888888888,1.2850259122222223,-0.012725422222222183,-3.0861020999999997,-0.3775686704444445,9
Rajiv Mehra,-0.9161664322222222,-0.30230615111111114,-1.2219272911111112,-1.9088378588888888,-0.5392131417777777,-1.8338767444444446,1.1759006166666668,1.8575188422222222,-1.5946639577777777,2.302358011111111,1.7734103751111112,0.2035286898888888,0.5866616955555556,-1.3120107477777776,-1.4609641322222222,-0.26409387044444443,-1.5840917314444445,1.907083231111111,-2.6304869777777777,-0.3908365488888889,-0.17355725777777778,1.2316293594444445,0.26239888333333333,-3.2875159111111114,-0.07255551888888888,9
Rajendra Babu,-0.3113621900000001,-1.7029632625,-2.4267018025,3.3108972625,0.460341325,-1.176737445,-2.7706771625,-2.6303815275,0.576956508375,-1.635878756875,-1.549686075,-2.61841077875,2.6317612287500003,3.86572205,-0.9105240346249999,-2.868402975,-1.82450743125,2.064569609375,-0.15091315374999997,-3.493567445,-0.1113621125,-1.717531975,-3.6863892925,-0.47672684624999995,2.1848277,8
Doraiswami Raju,0.95737480375,-1.0740121805,-0.9169024375,3.1644848125,-0.26896693250000003,-0.30481622624999993,-2.7229450375,-0.67730283,-0.80372291375,-1.48124785375,0.10753235587500001,-1.891811018,3.5518818875,3.8108000625000003,-0.23511301975,-2.6691968375,-0.56028558875,2.254419125,0.20781077795,-1.30983743,0.6395593775,-1.6433650982499999,-3.1362213800000003,-0.74313646375,2.171983747,8
B.L. Hansaria,-0.14169659687499997,-1.6036161646,-1.665545799375,3.082275992,-0.36674305875,-1.31533799,-1.21550740695,-1.98528074625,0.50209675,-0.988493148,-0.018729636249999987,-2.5288322287500002,2.7535943252,2.6422853375,-0.07214058125,-2.2217717,-1.0427424125,1.24415122,-0.49321494375,-1.40558079125,0.21768112875,-1.5075437150000002,-2.4662395,-0.73913715775,1.3335480638750001,8
S.C. Sen,0.0458253862500001,-1.38395531875,-1.36883960375,2.1707588525,-0.08351553125000001,0.3260467537500001,-2.61461373125,-0.49626997925,-0.21224584093124998,-1.414589525,-1.85652285875,-2.08223055625,3.627147175,4.4092513,0.27339075125,-2.7945572125,-0.5908337375,3.601596885625,-0.0843531025,-1.34336007375,0.85484613475,-1.221008255625,-2.1118754125,-1.59371285375,2.7018141125,8
Dr. Arijit Pasayat,0.14249270937500003,-0.258392375,-0.453978785375,1.27526531925,0.633618212,-1.6427058749999999,-0.25706418250000007,-1.193545017125,-0.7529912525,0.35236445625,-0.73022893,-0.22771431212499998,0.13345524749999998,0.46581363637499995,-1.1829589353749999,-1.0791503125,-0.75139213375,0.53514371625,-0.18859984624999998,0.456535185,0.6828203175,-1.161846675,-1.56542850375,-0.9597318912499999,-0.7757820468750001,8
Gyan Sudha Misra,0.49547958375000006,-1.00459130625,-0.07206522624999999,0.84621490125,0.08817494262500003,-2.3719922875,0.40255439875,-0.33791622625,-0.6519323850000001,0.39204735,-1.54132448625,-1.1381151475,-0.55769158375,0.6387756375,-1.0006445425,-1.419217825,-1.6378870255,1.08805132875,-0.12179669874999999,1.345040625,0.4773883662500001,-0.7083200650000001,0.035560206250000004,-0.448109181625,0.32528329125,8
B. N. Kirpal,0.5045698215,-1.4587048443750001,-1.141628205625,2.46236217,-0.51836949875,0.37744815374999996,-2.31377085,0.29210824175,0.3826825025,-1.8229207375,-2.4456297875,-2.6933937375,3.7604379124999996,4.8092105499999995,-0.45227584500000007,-2.352591025,-0.89867601,4.3873522000000005,0.22521532,-1.19577669375,2.1897687125000003,-0.81151542875,-1.08493511,-1.0183150925,2.5208611750000003,8
Bhavna Kalia,-0.034684716625,-0.28782803500000004,-2.9622245499999997,-1.35231133675,0.1261072975,-1.8994852925,2.0386692699999998,1.8133712000000002,-3.176555275,3.475852175,2.7672255275,1.81153690375,-0.76057574875,-3.21955765,-1.8843674375,-1.55376182625,-1.6106798605000001,0.2658559625,-2.9895758687500003,0.44875266250000007,-0.9821398275000001,1.6991291625,-1.2337564275,-2.33552978,-1.25809025,8
R.C. Chavan,-0.09666814714285714,0.4259646121428572,-0.9753983157142857,-0.12460324357142856,0.26761589514285716,-1.8869282542857142,-1.1313773057142857,0.08878034642857147,-1.96696656,0.09173281571428574,0.20024931857142864,0.07054227377142867,1.2905476057142857,-0.06388858785714284,-0.4322384374285714,-0.9918996671428572,0.29522242857142855,0.03922921500000002,-0.5347065414285714,0.5922370714285714,0.46720111428571415,-0.06258724285714286,-1.264012047142857,-1.045305322857143,-1.055948615,7
Harun-Ul-Rashid,2.3489999028571433,-0.9297381625714286,0.09900600999999996,1.946725214285714,1.2578904400000002,-1.5825021485714286,-0.8216637742857144,0.002169591428571443,-1.3685961225714285,0.9871340392857143,0.004697058571428626,1.184298648142857,-0.48973299571428575,-0.29725690428571433,-1.299271803,-1.5581404142857143,-0.47662654,0.20929216428571426,0.12254614628571428,0.20318626142857146,1.553251,-2.0638652,-1.7655054814285716,0.31939203800000004,-0.21563599214285714,7
Abhilash Malhotra,-0.16133732642857143,0.07171716942857143,-0.90100044,-1.482771457142857,-0.5796377899999999,-1.9138133142857143,0.9030885657142856,1.0271827414285715,-1.482622189142857,1.6329680714285715,0.69054939,0.18969150285714287,0.03770411000000002,-1.7487260571428571,-0.46771488,-0.6425413114285714,-0.8379452114285714,1.2381166985714285,-1.6565694142857144,0.9114817918571428,0.18031262385714286,1.060048257142857,-0.10774167142857143,-1.7627112571428571,-0.9961152942857143,7
Parveen Singh,-0.5871346357142857,-0.48064909714285714,0.8775641628571428,-0.8958473628571427,-0.9751467957142858,-0.9333140814285714,2.136273957142857,0.5928270600000001,-0.83731899,3.497850342857143,0.5646027485714286,1.7943378742857143,-0.8911595357142857,-1.6930243871428572,-0.66303321,-0.3527952828571429,-0.20115321857142857,1.2047614073428572,-0.6120731935714286,0.12711817285714286,0.9412581300000001,-0.3208529957142857,0.6616953642857142,0.8406792821428571,-1.1845583214285715,7
G.K. Mitter,2.1099511833333335,-1.8243664666666666,-1.0776355833333333,0.9615321783333334,-1.4321725066666666,0.8536678938333333,-1.9923924633333334,-0.6911538,-0.614710745,0.559715921,1.1684285345333334,-2.13694445,3.281646445,2.5826859,0.13835622266666667,-2.2252550833333333,-1.3956343883333335,0.26088149,-0.35668991666666666,-0.9719660463333334,-0.5667185583333333,-1.0551944183333333,-2.1174162,-2.2194012,1.83883511,6
Bisheshwar Prasad Singh,0.4455538016666667,-0.7316813400000001,0.17025217550000002,1.7032221950000002,0.45874069291666664,-0.9600115816666667,-0.51577269825,-1.0962134966666666,-0.8160236383333332,0.2412765583333333,-1.4355005483333334,-0.6374273716666666,0.6987345001666666,0.6659175083333332,-0.1619409296666667,-1.416450893333333,-1.17562329,2.1866010166666663,-0.369912405,0.30082121666666667,0.7947754816666667,-1.1248803883333334,-1.1089906583333333,-1.110440439,0.7336265733333334,6
R. Subhash Reddy,0.7706062333333333,-0.3100446783333333,-2.3294491083333333,1.8805709449999999,1.0804492333333333,-2.2279846627166666,-0.6009846150000001,-0.5404069716666665,-1.3203266333333332,0.6588606096666667,-0.7711412016666666,0.3796401866666667,-0.8365447016666666,-0.9520035216666667,-0.6694672283333333,-0.47286586271666664,-1.32144442,-0.29460446833333326,0.01764386833333338,-1.3729943,-1.0190753333333333,-0.602816456,-2.1881151333333335,-0.22157899000000003,-0.5057024233333333,6
J.M. Panchal,-0.48728067500000005,0.5326223908333333,-1.865398146666667,0.38620702600000006,0.985976643,-2.9465650833333332,-0.8683300433333333,-1.0508351,0.22720716666666665,-0.45835523633333336,-2.2314894,-0.49917947,0.39449680166666673,1.3964679333333334,-0.5394037433333333,-1.3000892333333331,-1.5185145333333334,0.03807543833333338,-0.09872592833333331,-0.7333999916666666,-0.7556890599999999,-1.594500095,-1.8596623049999998,1.03081532,-0.46004015,6
Biswajit Mohanty,0.8785661458333333,-0.6454354666666666,-1.1755051166666666,0.7829756799166666,0.25133527166666664,-2.2085336833333336,-1.3005858566666666,-0.20367148883333328,-1.1978975666666667,1.1121569666666666,1.3122164476666665,1.1941417499999998,0.22627836283333336,-0.6075036973333333,-0.026678867249999984,-0.3020630066666667,-0.5983232366666665,0.26314939833333334,-0.4464796416666667,-0.9200552125,-0.5555452500000001,-0.11812259333333332,-1.3420693216666668,-0.18969702999999996,-1.0004337258333333,6
